predictor,n_groups,median_rho_feature_SHAP,min_rho,max_rho,same_sign_fraction,positive_fraction,negative_fraction
GHSL_built_local_fraction,5,0.3159689286256624,0.2498469819068376,0.33068660798888,1.0,1.0,0.0
NDBI_MAM_median,5,0.9611258456589844,0.9409912139917208,0.9662157370431568,1.0,1.0,0.0
NDVI_MAM_median,5,-0.96070966972872,-0.9762041159338014,-0.9452201096075972,1.0,0.0,1.0
distance_to_coast_m,5,-0.7517036095822303,-0.8228231704194849,-0.684291191429977,1.0,0.0,1.0
eastness,5,0.935274099146424,0.9147783139911716,0.9513383054543252,1.0,1.0,0.0
elevation_m,5,-0.9412442900782128,-0.9658264100987652,-0.8876965813967971,1.0,0.0,1.0
northness,5,-0.3020757289246282,-0.5477965597090326,-0.0936109307695664,1.0,0.0,1.0
slope_deg,5,-0.3288322765353463,-0.4109353350862914,-0.2268086515274817,1.0,0.0,1.0
