predictor,n_groups,median_rho_feature_SHAP,min_rho,max_rho,same_sign_fraction,positive_fraction,negative_fraction
GHSL_built_local_fraction,11,0.339910148881451,0.1948797909288363,0.9605032220639976,1.0,1.0,0.0
NDBI_MAM_median,11,0.9583793844711536,0.595967741935484,0.981656218710548,1.0,1.0,0.0
NDVI_MAM_median,11,-0.9627980425072664,-0.9828606855866828,-0.3596774193548387,1.0,0.0,1.0
eastness,11,0.929056505370723,0.8925013972231466,0.9491067183801036,1.0,1.0,0.0
elevation_m,11,-0.92840078598489,-0.9901602375783728,-0.2674482249989374,1.0,0.0,1.0
distance_to_coast_m,11,-0.7322142361463977,-0.8466046296651674,0.6020161290322581,0.9090909090909091,0.09090909090909091,0.9090909090909091
northness,11,-0.3176766027875651,-0.538666237297316,0.2968697970302604,0.7272727272727273,0.2727272727272727,0.7272727272727273
slope_deg,11,-0.0956676883437401,-0.6747667070636246,0.3089896245369386,0.6363636363636364,0.36363636363636365,0.6363636363636364
