season,fold,n_test,R2,RMSE,MAE
MAM,1,1726,0.751915763520058,1.2040689684416523,0.9313296780075986
MAM,2,1726,0.6844835659445447,1.3318001382306761,0.9636640777131632
MAM,3,1726,0.7325665159562105,1.1121029548107173,0.8731346524404363
MAM,4,1727,0.7880284726699266,1.0825823332402604,0.8457382964668985
MAM,5,1726,0.609131962760786,1.368092867218277,1.0932345981108889
JJA,1,1717,0.6371101117317436,1.1252629025565541,0.8562454756577372
JJA,2,1718,0.5552116396595597,1.017658102081202,0.7798561754907702
JJA,3,1717,0.6983951455490913,1.126275086812772,0.8380985184374571
JJA,4,1717,0.5264673746472792,1.2959381741965454,0.931874701153885
JJA,5,1716,0.7336116757869162,1.0999742997096917,0.8413255624895313
DJF,1,1722,0.5585333919057217,1.1032957148107598,0.7994375467534757
DJF,2,1723,0.639642407777955,0.9898320452566438,0.7690265281155804
DJF,3,1721,0.7163543082740778,0.9994655923854303,0.7743221249961115
DJF,4,1721,0.6651330895635823,1.1010114148339816,0.8263023355561594
DJF,5,1721,0.6932386126299767,1.151090679323421,0.9074017941967445
