block_km,fold,n_test,R2,RMSE,MAE
1,1,1768,0.7648030374315824,1.195331204310718,0.9256822339401917
1,2,1768,0.6311987950701994,1.3138679641965534,0.9471692404718159
1,3,1768,0.7428569188917238,1.135198382390526,0.8955385704051396
1,4,1767,0.7194179604779365,1.2273213267164909,0.9627586791647808
1,5,1767,0.7258043600250171,1.1425400270464001,0.8961731867738966
2,1,1768,0.6857836459022661,1.1749917050552496,0.9215478679643924
2,2,1768,0.7093765722760301,1.1668491631401727,0.9103373538149148
2,3,1768,0.6741734261472777,1.1954026551189534,0.9417378099343625
2,4,1767,0.7358666711381687,1.290342908170583,1.0127798974254265
2,5,1767,0.6965285868009177,1.3323354490586392,0.9505393141412823
3,1,1768,0.7364149526490913,1.2417092794276312,0.9858641394650135
3,2,1767,0.6745562480156173,1.2041274333363379,0.9478854164803723
3,3,1768,0.7655420347155244,1.1980084264132713,0.9416094529485156
3,4,1767,0.6301270983084362,1.2795470415985384,0.9859750259736989
3,5,1768,0.6760939249274964,1.266316681387112,0.9101571261166074
5,1,1771,0.5546930361844227,1.3533214296718563,1.078350711528866
5,2,1768,0.5376377193603876,1.1430031526020141,0.9087305657464329
5,3,1768,0.6162295752426777,1.2627418525311558,0.9626077230437954
5,4,1766,0.7592851044668965,1.3537213125710617,0.9873254200079868
5,5,1765,0.639650661982319,1.262808024381931,0.9882367120512667
