scheme,n_groups,n_predictors,Kendall_W,chi2,p,pairwise_rank_rho_mean,pairwise_rank_rho_median,pairwise_rank_rho_min,pairwise_rank_rho_max
3km,5,9,0.992,39.68,3.6747202290816397e-06,0.9899999999999999,0.9833333333333333,0.9833333333333333,1.0
LOMO,11,9,0.9209366391184572,81.04242424242423,3.0149990474039176e-14,0.913030303030303,0.9500000000000001,0.65,1.0
