season,n_folds,pairwise_rank_rho_mean,pairwise_rank_rho_median,pairwise_rank_rho_min
DJF,5,0.95,0.9523809523809526,0.9047619047619048
JJA,5,0.9857142857142858,0.9761904761904763,0.9761904761904763
MAM,5,0.9904761904761905,1.0,0.9761904761904763
