k,silhouette,bootstrap_ARI_mean,bootstrap_ARI_p10,bootstrap_ARI_p90,selected_k
2,0.42160490948830903,0.9867038697322169,0.9739434969160303,0.9977062499121454,False
3,0.44786345461074234,0.9974608719673108,0.9954333407316354,0.999323355868168,True
4,0.37495066022097956,0.9835120919663607,0.9734797934838925,0.9919593160030017,False
5,0.31313036978446024,0.8936307751073826,0.7242615718838138,0.9837436547517433,False
6,0.3103364621316095,0.9781602166968083,0.9708467454368527,0.9871773325948678,False
7,0.2763049866244951,0.9666069808103921,0.9483126111243475,0.9825119289911864,False
