predictor,mean_rank,sd_rank,min_rank,max_rank,mean_importance,cv_importance
elevation_m,1.0,0.0,1.0,1.0,0.8142204918145497,0.12651854035071072
NDVI_MAM_median,2.0,0.0,2.0,2.0,0.5916112599941323,0.15214144301309968
NDBI_MAM_median,3.0,0.0,3.0,3.0,0.3096825211970219,0.03302313296370716
distance_to_coast_m,4.0,0.0,4.0,4.0,0.25651122757188993,0.14374379990527447
eastness,5.0,0.0,5.0,5.0,0.174061165411652,0.05943389989035441
slope_deg,6.0,0.0,6.0,6.0,0.059197108174863455,0.10383612354510448
northness,7.0,0.0,7.0,7.0,0.03760630974187146,0.15347910770312967
GHSL_built_local_fraction,8.0,0.0,8.0,8.0,0.027826664123024765,0.0832362064476154
