scheme,group,predictor,rho_feature_SHAP
LOMO,Maimbung,GHSL_built_local_fraction,0.29694411774237167
LOMO,Maimbung,elevation_m,-0.8559529202185234
LOMO,Maimbung,slope_deg,0.19916677467944766
LOMO,Maimbung,northness,-0.46346145941736383
LOMO,Maimbung,eastness,0.9414404017477627
LOMO,Maimbung,distance_to_coast_m,-0.762653035894557
LOMO,Panglima Estino,NDVI_MAM_median,-0.9673145453696644
LOMO,Panglima Estino,NDBI_MAM_median,0.9760142232458257
LOMO,Panglima Estino,GHSL_built_local_fraction,0.3466131189443599
LOMO,Panglima Estino,elevation_m,-0.9284007859848901
LOMO,Panglima Estino,slope_deg,-0.3282467704343901
LOMO,Panglima Estino,northness,-0.010698186364625575
LOMO,Panglima Estino,eastness,0.929056505370723
LOMO,Panglima Estino,distance_to_coast_m,-0.7217615860601034
LOMO,Jolo,NDVI_MAM_median,-0.35967741935483877
LOMO,Jolo,NDBI_MAM_median,0.595967741935484
LOMO,Jolo,GHSL_built_local_fraction,0.9605032220639975
LOMO,Jolo,elevation_m,-0.2674482249989374
LOMO,Jolo,slope_deg,0.3089896245369386
LOMO,Jolo,northness,0.2968697970302604
LOMO,Jolo,eastness,0.8985917316953129
LOMO,Jolo,distance_to_coast_m,0.6020161290322581
