predictor,mean_rank,sd_rank,min_rank,max_rank,mean_importance,cv_importance
elevation_m,1.3636363636363635,0.674199862463242,1.0,3.0,0.8031401093044703,0.24534595087998998
NDVI_MAM_median,1.7272727272727273,0.46709936649691375,1.0,2.0,0.7009588803258023,0.5140895376300386
NDBI_MAM_median,3.090909090909091,0.5393598899705937,2.0,4.0,0.4279511301261529,0.9878968655044776
distance_to_coast_m,3.8181818181818183,0.40451991747794525,3.0,4.0,0.2855778194211224,0.310044313409838
eastness,5.090909090909091,0.30151134457776363,5.0,6.0,0.17264085267164064,0.1389204141286798
slope_deg,6.181818181818182,0.6030226891555273,6.0,8.0,0.0572524034745085,0.2097685077382685
northness,7.090909090909091,0.30151134457776363,7.0,8.0,0.03722534414733401,0.16008163076085452
GHSL_built_local_fraction,7.636363636363637,0.9244162777371753,5.0,8.0,0.06595038110633089,1.942143414533597
