fold,n,base_nn_dist,DI_mean,DI_p95,RMSE,rho_error_DI
1,1768,0.5397956527017133,1.0730250021281242,1.9399084847546113,1.2417092794276312,-0.07049058817788298
2,1767,0.5044310945186,1.0125520601530111,1.7603141859392288,1.2041274333363379,-0.047851481113580126
3,1768,0.5395282839355298,1.0698911706244625,1.8839370397599575,1.1980084264132713,0.01770679809511973
4,1767,0.4899761888738282,1.097072805415954,2.0479796281388047,1.2795470415985384,-0.019002231065987592
5,1768,0.5132383458312534,1.012043456790273,1.7772912894440867,1.266316681387112,0.00869677350913135
