scheme,n_groups,pairwise_rank_rho_mean,pairwise_rank_rho_median,pairwise_rank_rho_min,pairwise_rank_rho_max
3km_folds,5,1.0,1.0,1.0,1.0
LOMO,11,0.9398268398268397,0.9761904761904763,0.7142857142857144,1.0
