scheme,group,predictor,mean_abs_SHAP,rank
LOMO,Old Panamao,NDBI_MAM_median,0.27302819686707075,3.0
LOMO,Old Panamao,GHSL_built_local_fraction,0.028658733611375498,8.0
LOMO,Old Panamao,elevation_m,0.6378367402060533,2.0
LOMO,Old Panamao,slope_deg,0.052271015314487024,6.0
LOMO,Old Panamao,northness,0.038830484152301954,7.0
LOMO,Old Panamao,eastness,0.183310382356236,5.0
LOMO,Old Panamao,distance_to_coast_m,0.23820198377864052,4.0
LOMO,Old Panamao,WorldCover,0.021720541521884393,9.0
LOMO,Maimbung,NDVI_MAM_median,0.5253068639096776,2.0
LOMO,Maimbung,NDBI_MAM_median,0.29173684553144635,3.0
LOMO,Maimbung,GHSL_built_local_fraction,0.027370326657372077,9.0
LOMO,Maimbung,elevation_m,0.7119498711827882,1.0
LOMO,Maimbung,slope_deg,0.05024955574257042,6.0
LOMO,Maimbung,northness,0.028446874376760353,8.0
LOMO,Maimbung,eastness,0.15953868869805368,5.0
LOMO,Maimbung,distance_to_coast_m,0.22367170859372582,4.0
LOMO,Maimbung,WorldCover,0.036171134809683564,7.0
LOMO,Panglima Estino,NDVI_MAM_median,0.6705019315866064,1.0
LOMO,Panglima Estino,NDBI_MAM_median,0.3738639827680453,3.0
LOMO,Panglima Estino,GHSL_built_local_fraction,0.0324872392910618,8.0
LOMO,Panglima Estino,elevation_m,0.6676590461901366,2.0
LOMO,Panglima Estino,slope_deg,0.0754042846258833,6.0
LOMO,Panglima Estino,northness,0.032137095638136964,9.0
LOMO,Panglima Estino,eastness,0.1724601297273744,5.0
LOMO,Panglima Estino,distance_to_coast_m,0.23386053403204615,4.0
LOMO,Panglima Estino,WorldCover,0.0637972651331071,7.0
LOMO,Jolo,NDVI_MAM_median,1.7771898484706274,1.0
LOMO,Jolo,NDBI_MAM_median,1.6987682884167357,2.0
LOMO,Jolo,GHSL_built_local_fraction,0.45203629032396536,5.0
LOMO,Jolo,elevation_m,1.2050668212161648,3.0
LOMO,Jolo,slope_deg,0.03949818616134522,9.0
LOMO,Jolo,northness,0.050392338415578254,8.0
LOMO,Jolo,eastness,0.17287146412059404,7.0
LOMO,Jolo,distance_to_coast_m,0.5147149302853857,4.0
LOMO,Jolo,WorldCover,0.3397055255357793,6.0
