observed_LST,predicted_LST_3kmCV,residual,x_utm,y_utm,municipality
31.792336,33.188281001190916,-1.395945001190917,281115.0,673305.0,Patikul
32.02974,33.729200161943204,-1.6994601619432075,281415.0,673305.0,Patikul
31.970383,32.98394408119844,-1.0135610811984357,281715.0,673305.0,Patikul
32.234283,32.47062321712438,-0.23634021712437914,282015.0,673305.0,Patikul
31.71356,32.07014295146939,-0.3565829514693917,284415.0,673305.0,Patikul
31.755854,33.56233435563706,-1.8064803556370634,284715.0,673305.0,Patikul
31.795609,32.70212497666795,-0.9065159766679542,285015.0,673305.0,Patikul
33.751595,32.088215011325055,1.6633799886749472,285315.0,673305.0,Patikul
31.854794,33.3337999164741,-1.479005916474101,285615.0,673305.0,Patikul
35.126663,32.39797976589672,2.728683234103279,289815.0,673305.0,Patikul
35.177185,35.163972630416936,0.013212369583065708,290115.0,673305.0,Patikul
37.96004,34.51120329174346,3.448836708256536,290415.0,673305.0,Patikul
35.854237,33.571052146065476,2.2831848539345216,290715.0,673305.0,Patikul
33.84156,34.33691577921423,-0.49535577921422913,291015.0,673305.0,Patikul
33.78465,31.690484725569775,2.0941652744302246,291315.0,673305.0,Patikul
32.964546,32.42184831784503,0.5426976821549658,291615.0,673305.0,Patikul
33.975307,32.65562964757477,1.3196773524252308,291915.0,673305.0,Patikul
35.125053,32.882546689612596,2.242506310387405,292215.0,673305.0,Patikul
31.58855,32.26922494648195,-0.6806749464819468,280515.0,673005.0,Patikul
31.013483,31.91685425240075,-0.9033712524007491,280815.0,673005.0,Patikul
31.342598,32.12314509991598,-0.7805470999159816,281115.0,673005.0,Patikul
30.614357,32.75910476872908,-2.144747768729083,281415.0,673005.0,Patikul
32.141075,31.867671845027964,0.27340315497203704,281715.0,673005.0,Patikul
31.510162,32.69064230056142,-1.1804803005614204,282015.0,673005.0,Patikul
31.1381,32.52854161401862,-1.39044161401862,282315.0,673005.0,Patikul
31.424969,32.86936123508376,-1.4443922350837575,282615.0,673005.0,Patikul
32.68518,32.757612934890076,-0.07243293489007385,282915.0,673005.0,Patikul
34.52153,34.94762620470878,-0.4260962047087844,283215.0,673005.0,Patikul
32.78309,33.22074786505984,-0.4376578650598404,283515.0,673005.0,Patikul
34.37003,33.76047038748522,0.6095596125147793,283815.0,673005.0,Patikul
32.925957,33.965726776645376,-1.0397697766453788,284115.0,673005.0,Patikul
31.870232,32.918867326239564,-1.0486353262395625,284415.0,673005.0,Patikul
31.361532,31.61932241013154,-0.25779041013154114,284715.0,673005.0,Patikul
31.089813,33.215339045552646,-2.125526045552647,285015.0,673005.0,Patikul
32.223927,32.93903271282212,-0.7151057128221154,285315.0,673005.0,Patikul
32.273018,32.39945986901629,-0.12644186901628984,285615.0,673005.0,Patikul
30.730507,32.12706983063786,-1.3965628306378584,285915.0,673005.0,Patikul
35.271378,35.88543422342712,-0.6140562234271201,286215.0,673005.0,Patikul
34.38113,36.89305830875912,-2.511928308759124,286515.0,673005.0,Patikul
32.328403,33.04128297820739,-0.7128799782073898,286815.0,673005.0,Patikul
32.77346,34.23431842140595,-1.460858421405952,287115.0,673005.0,Patikul
33.778046,33.7840935135141,-0.006047513514097602,287415.0,673005.0,Patikul
33.45368,33.72505219125897,-0.27137219125896905,287715.0,673005.0,Patikul
33.664955,32.44501675056047,1.2199382494395294,288015.0,673005.0,Patikul
31.941275,32.878801269180094,-0.9375262691800934,288315.0,673005.0,Patikul
32.944214,34.34465271206103,-1.4004387120610247,288615.0,673005.0,Patikul
32.620174,32.523013587669936,0.09716041233006223,288915.0,673005.0,Patikul
34.233635,32.4003599248466,1.8332750751534022,289215.0,673005.0,Patikul
32.977036,31.971417543777175,1.0056184562228232,289515.0,673005.0,Patikul
33.075207,32.550871276410305,0.5243357235896937,289815.0,673005.0,Patikul
33.71236,33.462667988636085,0.24969201136391206,290115.0,673005.0,Patikul
33.56032,33.30316144083411,0.25715855916588737,290415.0,673005.0,Patikul
34.55695,34.080736241386965,0.47621375861303505,290715.0,673005.0,Patikul
34.057945,34.398264883587544,-0.34031988358754717,291015.0,673005.0,Patikul
33.511158,33.324712750342,0.18644524965800002,291315.0,673005.0,Patikul
33.034756,33.01868596267398,0.016070037326024078,291615.0,673005.0,Patikul
36.05257,35.751260488879176,0.30130951112082727,291915.0,673005.0,Patikul
34.42884,33.07844556875631,1.3503944312436928,292215.0,673005.0,Patikul
34.278416,34.000434684277515,0.2779813157224851,292515.0,673005.0,Patikul
33.024605,32.34371705528996,0.6808879447100438,280515.0,672705.0,Patikul
31.889008,32.58447026429421,-0.6954622642942105,280815.0,672705.0,Patikul
31.156982,32.25287410313574,-1.0958921031357391,281115.0,672705.0,Patikul
31.539957,32.90349629650819,-1.3635392965081863,281415.0,672705.0,Patikul
31.52195,32.36461196886062,-0.8426619688606216,281715.0,672705.0,Patikul
32.419537,32.26247525261494,0.15706174738505752,282015.0,672705.0,Patikul
31.219147,32.679824354127035,-1.4606773541270357,282315.0,672705.0,Patikul
30.806644,31.72632869748512,-0.9196846974851205,282615.0,672705.0,Patikul
31.804228,33.67323385918164,-1.8690058591816445,282915.0,672705.0,Patikul
32.49162,32.49550764721565,-0.0038876472156559316,283215.0,672705.0,Patikul
32.06634,32.03254976854006,0.03379023145993898,283515.0,672705.0,Patikul
33.69568,33.19631467231227,0.4993653276877339,283815.0,672705.0,Patikul
32.287663,32.75099641565797,-0.4633334156579707,284115.0,672705.0,Patikul
32.626934,34.26317537073448,-1.6362413707344814,284415.0,672705.0,Patikul
32.403767,32.90780282709154,-0.5040358270915348,284715.0,672705.0,Patikul
31.325594,31.764666447387278,-0.4390724473872787,285015.0,672705.0,Patikul
32.988136,32.51650209229724,0.4716339077027598,285315.0,672705.0,Patikul
32.976646,33.44178949004382,-0.4651434900438147,285615.0,672705.0,Patikul
32.54446,32.50142832275872,0.043031677241280875,285915.0,672705.0,Patikul
32.39047,33.91757840938808,-1.5271084093880773,286215.0,672705.0,Patikul
32.11918,31.886856942170823,0.23232305782917706,286515.0,672705.0,Patikul
30.41068,32.22901095909774,-1.818330959097743,286815.0,672705.0,Patikul
30.743204,32.207912042304486,-1.464708042304487,287115.0,672705.0,Patikul
31.237417,32.36101504579628,-1.1235980457962782,287415.0,672705.0,Patikul
30.97788,34.201732563397165,-3.223852563397166,287715.0,672705.0,Patikul
32.75772,32.884180867938525,-0.12646086793852618,288015.0,672705.0,Patikul
31.552519,31.18123677088233,0.3712822291176714,288315.0,672705.0,Patikul
30.589365,31.703313858583314,-1.1139488585833135,288615.0,672705.0,Patikul
32.09679,35.07034443486904,-2.973554434869044,288915.0,672705.0,Patikul
32.859947,34.86526222053105,-2.0053152205310525,289215.0,672705.0,Patikul
33.358818,34.109583200464165,-0.7507652004641656,289515.0,672705.0,Patikul
33.41605,34.38021410469965,-0.9641641046996483,289815.0,672705.0,Patikul
32.656887,33.77296280386003,-1.116075803860035,290115.0,672705.0,Patikul
34.287407,34.47702059303828,-0.18961359303828118,290415.0,672705.0,Patikul
33.862045,34.56879633047519,-0.7067513304751856,290715.0,672705.0,Patikul
32.715427,33.076347493861384,-0.3609204938613857,291015.0,672705.0,Patikul
