predictor_group,mean_abs_SHAP
elevation_m,0.8231768456207348
NDVI_MAM_median,0.6130965691422127
NDBI_MAM_median,0.3047036321506427
distance_to_coast_m,0.25102098004114487
eastness,0.17459424213400593
WorldCover,0.060525458986759165
slope_deg,0.056870034911950924
northness,0.03178225860730955
GHSL_built_local_fraction,0.026626511282165716
