Model,R2,RMSE,MAE
LightGBM,0.7304344985337694,1.1821312117858842,0.9048428146272304
XGBoost,0.7283562959716051,1.1866792553883077,0.9073762288744188
RandomForest,0.7259838198572763,1.191850086967759,0.9118892590383089
Linear,0.6919250451194254,1.263751620088957,0.9566442847120729
