predictor,spearman_feature_SHAP,mean_abs_SHAP
elevation_m,-0.9511248161576686,0.8231776951945714
NDVI_MAM_median,-0.9653672083608701,0.6146092094285127
NDBI_MAM_median,0.9565138379315098,0.3016129976889579
distance_to_coast_m,-0.7529633247916877,0.2530050220152697
eastness,0.9320441251845781,0.17427285206928564
slope_deg,-0.2794373022837729,0.05735587330499211
northness,-0.34772733845278303,0.03491111413210126
GHSL_built_local_fraction,0.3092994954421176,0.02709526831936702
