test,value,n,mean_LST,median_LST,p5,p95
obs_threshold,5.0,8838,32.04871747341027,32.0121065,28.32999175,35.6700728
obs_threshold,10.0,8838,32.04871747341027,32.0121065,28.32999175,35.6700728
obs_threshold,20.0,8627,32.13811346145821,32.065323,28.6197559,35.686545100000004
obs_threshold,30.0,6531,32.74903041234114,32.623547,29.931585499999997,35.97146
STQA_cutoff,5.0,8193,32.09715092322715,32.05999,28.561653,35.6137758
STQA_cutoff,5.5,8616,32.04319853737233,32.009022,28.368614,35.628041249999995
STQA_cutoff,6.0,8761,32.03843498984134,31.999817,28.312729,35.660503
