,count,mean,std,min,5%,25%,50%,75%,95%,max
LST_MAM_median_C,8838.0,32.0487174987793,2.2769742012023926,23.195510864257812,28.32999210357666,30.611997604370117,32.01210594177246,33.46624279022217,35.6700740814209,53.66642761230469
valid_obs,8838.0,40.410160064697266,15.581433296203613,11.0,22.0,29.0,37.0,47.0,75.0,89.0
LST_MAM_SD_C,8838.0,5.848714351654053,0.8885968327522278,2.546692132949829,4.427912425994873,5.2466676235198975,5.825754880905151,6.416311979293823,7.345569014549255,9.908038139343262
ST_QA_median_K,8838.0,4.473984718322754,1.1029609441757202,1.298890471458435,4.060410976409912,4.239902138710022,4.380476236343384,4.5589258670806885,5.153303337097168,88.91813659667969
NDVI_MAM_median,8838.0,0.7897351980209351,0.08273638784885406,-0.0277341790497303,0.6514275789260864,0.7637970596551895,0.8079413175582886,0.840123176574707,0.8692605197429657,0.9434002041816711
NDBI_MAM_median,8838.0,-0.3461667001247406,0.09423240274190903,-0.7000319361686707,-0.4663106739521027,-0.40065786242485046,-0.3527081608772278,-0.2975598871707916,-0.18913910537958148,0.17746233940124512
NDMI_MAM_median,8838.0,0.3461667001247406,0.09423240274190903,-0.17746233940124512,0.18913910537958145,0.2975598871707916,0.3527081608772278,0.40065786242485046,0.46631067395210263,0.7000319361686707
BSI_MAM_median,8838.0,-0.2835327386856079,0.09869761019945145,-0.6631743907928467,-0.4107504993677139,-0.3454200327396393,-0.292329341173172,-0.2308771312236786,-0.11315039023756983,0.2092875838279724
GHSL_built_local_fraction,8838.0,0.007110206410288811,0.05303933843970299,0.0,0.0,0.0,0.0,0.0,0.0,0.9399999976158142
elevation_m,8838.0,119.70378112792969,111.06341552734375,-2.0,7.0,37.0,88.0,166.0,355.0,736.0
slope_deg,8838.0,6.044919490814209,5.289461612701416,0.0,1.0,3.0,5.0,7.0,17.0,45.0
northness,8838.0,0.011273610405623913,0.7151738405227661,-1.0,-0.9961947202682495,-0.7071067690849304,6.123234262925839e-17,0.7071067690849304,1.0,1.0
eastness,8838.0,-0.0004265159950591624,0.6989364624023438,-1.0,-0.9925461411476135,-0.7071067690849304,0.0,0.7071067690849304,0.9925461411476135,1.0
distance_to_coast_m,8838.0,2995.322021484375,2197.494873046875,30.0,201.24612426757812,1170.0,2573.9755859375,4487.958740234375,7147.659716796875,9792.185546875
distance_to_permanent_water_m,8838.0,893.2728271484375,708.9158935546875,10.0,60.0,310.0,705.9036865234375,1361.2493896484375,2251.444091796875,3178.12841796875
