Model,R2,RMSE,MAE
LightGBM,0.7289040009663524,1.1854823233521257,0.9069321142308594
XGBoost,0.7267291929038089,1.1902279603358892,0.9100785179797359
RandomForest,0.7258649311251774,1.1921086158239755,0.912049819245055
Linear,0.6919250451194254,1.263751620088957,0.9566442847120729
