season,obs_threshold,n,mean_LST_C,median_LST_C,random_R2,random_RMSE,random_MAE,spatial3km_R2,spatial3km_RMSE,spatial3km_MAE
MAM,10,8631,32.07416,32.029587,0.7458192123954939,1.1613036891139263,0.8851729383906553,0.7150521615778473,1.2295809572369123,0.9430041333487218
JJA,10,8585,31.83237,31.821089,0.6842139556643532,1.080895016314176,0.8025012757087366,0.6457940423073674,1.144761404255991,0.8551680364882924
DJF,10,8608,31.186876,31.268225,0.7094433265339446,1.00859586887531,0.7589368929683965,0.6685922902919463,1.0771670531153126,0.8191064591876281
MAM,20,8425,32.161987,32.104786,0.7328899533001321,1.1611946259311912,0.8805721802887669,0.7076167165125713,1.2148878117669835,0.9309267753440204
JJA,20,7056,32.153934,32.102222,0.6435577549306262,1.0730808357040182,0.7820361068503336,0.6038972709380426,1.1312061847114723,0.8343876859526431
DJF,20,7529,31.497145,31.504921,0.6513365189676216,0.9925216799037652,0.7412653002732618,0.6196134660722419,1.036691023476282,0.7815209786743734
