season,n,R2,RMSE,MAE
MAM,8608,0.6856081234916335,1.2922283640287129,0.9977699001520349
JJA,8562,0.6162138790215915,1.1923811064809475,0.8969639496570513
DJF,8585,0.6563628434954543,1.0975452680939182,0.8361702954881242
