season_a,season_b,n,mean_difference_C_a_minus_b,median_difference_C_a_minus_b,pearson_r
MAM,JJA,8585,0.26185697317123413,0.2811317443847656,0.7892733389003532
MAM,DJF,8607,0.8973186612129211,0.8886852264404297,0.8679326329602659
JJA,DJF,8562,0.6380599737167358,0.6254959106445312,0.7491952790621859
