season,feature,spearman_feature_SHAP,p_value,mean_abs_SHAP
MAM,elevation_m,-0.9408209511215603,0.0,0.7759357647699857
MAM,NDVI,-0.9658064068305791,0.0,0.6749590041404614
MAM,NDBI,0.9458113083383938,0.0,0.3533754998415101
MAM,distance_to_coast_m,-0.7497987483913825,0.0,0.26496262625024397
MAM,eastness,0.9203273715187724,0.0,0.17799684845576955
MAM,slope_deg,-0.27595924180511455,1.1827736190321182e-150,0.05214993741477488
MAM,northness,-0.5513020205861283,0.0,0.04637445947826289
MAM,GHSL_built_fraction,0.3249099515681306,2.3762887875827513e-211,0.025793516648850153
MAM,WC_95,-0.34720046250526443,4.965227152541211e-243,0.02258418774383637
MAM,WC_50,0.1862664838893195,3.1423547504406024e-68,0.015651602274441907
MAM,WC_30,0.20045003066509065,6.140438050569536e-79,0.0068609499739765096
MAM,WC_10,-0.46973889586980117,0.0,0.006129386721503138
MAM,WC_Other,,,0.0
JJA,elevation_m,-0.9821620043479998,0.0,0.9086624510212665
JJA,NDBI,0.7269107231672259,0.0,0.30671639671534945
JJA,distance_to_coast_m,-0.6932668640462565,0.0,0.242098199846038
JJA,NDVI,-0.7083262360299817,0.0,0.1526947940647406
JJA,eastness,0.88526030800076,0.0,0.12197790270015588
JJA,northness,0.8336981211991199,0.0,0.09356479161789027
JJA,slope_deg,-0.40567454496312816,0.0,0.06768916729635824
JJA,GHSL_built_fraction,0.31808759732531017,4.1610649839390334e-201,0.033301355805717456
JJA,WC_95,-0.34808856884733547,4.677770791056589e-243,0.02313647093015012
JJA,WC_50,0.18675891735541278,3.1281726567099887e-68,0.019204376309725758
JJA,WC_30,0.2832002046314434,4.65490585637878e-158,0.015618013929483452
JJA,WC_10,-0.4110374826679468,0.0,0.0024616021819020566
JJA,WC_Other,,,0.0
DJF,elevation_m,-0.9715915923711969,0.0,0.8138183304288167
DJF,NDVI,-0.9648914191033818,0.0,0.3752077048076657
DJF,NDBI,0.741916344402768,0.0,0.22968252678970394
DJF,northness,-0.9079241859746076,0.0,0.1848003747509369
DJF,distance_to_coast_m,-0.7055233745620982,0.0,0.17979446888742578
DJF,eastness,0.9219753472620185,0.0,0.15213763891483645
DJF,slope_deg,-0.22667265550852764,1.0122720669480905e-100,0.0477163035739092
DJF,GHSL_built_fraction,0.2829227526349917,3.709503594854247e-158,0.01718500982183748
DJF,WC_50,0.18651221309128563,3.1352750144805303e-68,0.015287321697707346
DJF,WC_95,-0.3476434346553995,4.82355641039264e-243,0.010517837046069999
DJF,WC_30,0.2828322858427355,4.714342206473869e-158,0.0076633567382719155
DJF,WC_10,-0.42644322754685116,0.0,0.0027528650673324883
DJF,WC_Other,,,0.0
