LST_MAM_median_C,valid_obs,LST_MAM_SD_C,ST_QA_median_K,NDVI_MAM_median,NDBI_MAM_median,NDMI_MAM_median,BSI_MAM_median,GHSL_built_local_fraction,WorldCover_2021,elevation_m,slope_deg,northness,eastness,distance_to_coast_m,distance_to_permanent_water_m,x_utm,y_utm,row,col,longitude,latitude,block1km_x,block1km_y,block1km_id,block2km_x,block2km_y,block2km_id,block3km_x,block3km_y,block3km_id,block5km_x,block5km_y,block5km_id,municipality
31.013483,41.0,5.941545,4.5327034,0.85568255,-0.42160317,0.42160317,-0.37130585,0.0,10.0,13.0,8.0,0.97437006,-0.22495106,276.58633,80.622574,280815.0,673005.0,25,545,121.01954132933541,6.0850240223754914,280,673,280_673,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
31.342598,41.0,5.6762714,4.5909524,0.83605325,-0.38734397,0.38734397,-0.33797446,0.0,10.0,29.0,4.0,0.70710677,-0.70710677,342.0526,107.70329,281115.0,673005.0,25,555,121.02225090004316,6.085033957573049,281,673,281_673,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
30.614357,43.0,5.592633,4.6676264,0.8179406,-0.38940766,0.38940766,-0.33484554,0.0,10.0,23.0,4.0,0.8910065,0.4539905,379.47333,114.01754,281415.0,673005.0,25,565,121.02496047525466,6.085043879189835,281,673,281_673,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
32.141075,42.0,5.3344755,4.39,0.8202572,-0.37825236,0.37825236,-0.32108,0.0,10.0,30.0,6.0,0.6293204,-0.777146,465.72525,145.6022,281715.0,673005.0,25,575,121.0276700549638,6.085053787225738,281,673,281_673,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
31.510162,45.0,5.51895,4.325123,0.84099966,-0.36666834,0.36666834,-0.3213086,0.0,10.0,36.0,3.0,0.309017,0.95105654,445.98206,141.42136,282015.0,673005.0,25,585,121.0303796391644,6.085063681680646,282,673,282_673,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
31.1381,43.0,5.093934,4.6743736,0.8440621,-0.4094504,0.4094504,-0.35816523,0.0,10.0,41.0,3.0,0.94551855,0.32556817,305.94116,90.55385,282315.0,673005.0,25,595,121.03308922785028,6.085073562554451,282,673,282_673,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
31.424969,43.0,5.8458095,4.9543586,0.8218471,-0.32205108,0.32205108,-0.26748142,0.0,10.0,34.0,4.0,0.8910065,-0.4539905,228.47319,67.08204,282615.0,673005.0,25,605,121.0357988210153,6.085083429847043,282,673,282_673,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
32.68518,43.0,5.4566565,4.667961,0.8619467,-0.43408945,0.43408945,-0.38289955,0.0,10.0,17.0,7.0,0.70710677,0.70710677,150.0,40.0,282915.0,673005.0,25,615,121.03850841865331,6.08509328355831,282,673,282_673,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
34.52153,40.0,5.1419744,4.74492,0.7340741,-0.26388404,0.26388404,-0.1745145,0.0,30.0,16.0,3.0,-0.309017,0.95105654,108.16654,20.0,283215.0,673005.0,25,625,121.04121802075814,6.0851031236881425,283,673,283_673,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
32.78309,42.0,5.21751,6.0766277,0.83549136,-0.40550643,0.40550643,-0.34703985,0.04,10.0,9.0,0.0,1.0,0.0,90.0,20.0,283515.0,673005.0,25,635,121.04392762732361,6.085112950236431,283,673,283_673,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
34.37003,44.0,6.1540956,5.6836886,0.6496435,-0.23756304,0.23756304,-0.145201,0.15,10.0,18.0,2.0,-1.8369701e-16,-1.0,174.92856,40.0,283815.0,673005.0,25,645,121.04663723834358,6.085122763203067,283,673,283_673,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
32.925957,48.0,5.515206,5.7639575,0.7518876,-0.31152067,0.31152067,-0.2354392,0.0,10.0,15.0,4.0,0.9702957,-0.2419219,247.38634,56.568542,284115.0,673005.0,25,655,121.0493468538119,6.085132562587941,284,673,284_673,142,336,142_336,94,224,94_224,56,134,56_134,Patikul
31.870232,50.0,5.248839,5.2978916,0.79397655,-0.36397532,0.36397532,-0.29593042,0.0,10.0,18.0,3.0,0.94551855,-0.32556817,349.85712,102.9563,284415.0,673005.0,25,665,121.05205647372236,6.085142348390945,284,673,284_673,142,336,142_336,94,224,94_224,56,134,56_134,Patikul
31.361532,47.0,5.4501247,4.5620704,0.8461851,-0.43875313,0.43875313,-0.38441318,0.0,10.0,28.0,1.0,-1.0,1.2246469e-16,456.94638,139.28389,284715.0,673005.0,25,675,121.05476609806885,6.0851521206119665,284,673,284_673,142,336,142_336,94,224,94_224,56,134,56_134,Patikul
31.089813,47.0,5.3571534,4.3921704,0.8339825,-0.33639783,0.33639783,-0.287633,0.0,10.0,25.0,3.0,6.123234e-17,1.0,458.91174,150.0,285015.0,673005.0,25,685,121.05747572684521,6.085161879250898,285,673,285_673,142,336,142_336,95,224,95_224,57,134,57_134,Patikul
32.223927,47.0,5.720692,4.381914,0.81465715,-0.361043,0.361043,-0.30473834,0.0,10.0,17.0,3.0,-1.0,1.2246469e-16,458.91174,152.97058,285315.0,673005.0,25,695,121.06018536004525,6.085171624307632,285,673,285_673,142,336,142_336,95,224,95_224,57,134,57_134,Patikul
32.273018,46.0,5.6624503,4.588279,0.8130499,-0.38846165,0.38846165,-0.32219756,0.01,10.0,21.0,4.0,0.43837115,-0.89879405,335.4102,108.16654,285615.0,673005.0,25,705,121.06289499766282,6.08518135578206,285,673,285_673,142,336,142_336,95,224,95_224,57,134,57_134,Patikul
30.730507,46.0,5.2587667,5.2468476,0.8714881,-0.46998832,0.46998832,-0.4125665,0.0,10.0,15.0,1.0,-1.0,1.2246469e-16,174.92856,41.231056,285915.0,673005.0,25,715,121.06560463969178,6.085191073674073,285,673,285_673,142,336,142_336,95,224,95_224,57,134,57_134,Patikul
35.271378,42.0,5.81049,4.9861555,0.5215573,-0.107497595,0.107497595,-0.023980865,0.0,30.0,8.0,3.0,-1.0,1.2246469e-16,90.0,20.0,286215.0,673005.0,25,725,121.06831428612593,6.0852007779835615,286,673,286_673,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
